id_stacji	stacja	data_pomiaru	godzina_pomiaru	temperatura	predkosc_wiatru	kierunek_wiatru	wilgotnosc_wzgledna	suma_opadu	cisnienie	PM10	CO	NO2	PM2.5	SO2	C6H6	
12295	Białystok	2022-01-24	1	-12.6	0	0	89.9	0.01	1037.2	None	None	None	None	None	None		
12295	Białystok	2022-01-24	2	-10.2	1	180	93.1	0.01	1036.9	68.83	593.0	19.7	94.0	0.0	5.42	
12295	Białystok	2022-01-24	3	-8.1	1	170	93.2	0.01	1036.7	46.54	398.0	9.2	44.0	0.0	1.81	
12295	Białystok	2022-01-24	4	-8.1	1	160	89.6	0.01	1036.5	29.41	357.0	8.0	21.0	0.0	1.35	
12295	Białystok	2022-01-24	5	-9	1	190	90.2	0.01	1036.9	21.59	316.0	12.9	19.0	0.0	1.09	
12295	Białystok	2022-01-24	8	-6.5	1	200	87.0	0	1036.9	34.8	396.0	19.1	20.0	0.0	1.32	
12295	Białystok	2022-01-24	8	-6.5	1	200	87.0	0	1036.9	34.8	396.0	19.1	20.0	0.0	1.32	
12295	Białystok	2022-01-24	9	-5	2	170	78.1	0	1036.6	28.99	381.0	15.8	24.0	0.0	1.4	
12295	Białystok	2022-01-24	10	-4.4	2	190	74.7	0	1036.2	27.01	338.0	11.1	18.0	0.1	1.24	
12295	Białystok	2022-01-24	11	-2.8	2	220	68.8	0	1035.6	30.91	377.0	16.0	19.0	0.0	1.23
12295	Białystok	2022-01-24	12	-2.5	3	190	68.9	0	1034.8	30.62	555.0	19.3	22.0	0.4	None	
12295	Białystok	2022-01-24	13	-2.7	2	180	71.6	0	1034.3	29.36	321.0	11.7	21.0	2.5	None	
12295	Białystok	2022-01-24	14	-2.5	2	210	68.9	0	1033.9	27.82	359.0	15.9	21.0	3.2	None	
12295	Białystok	2022-01-24	15	-2.6	2	210	71.0	0	1033.6	32.74	437.0	20.1	23.0	2.2	1.52	
12295	Białystok	2022-01-24	16	-2.5	2	200	70.0	0	1033.4	31.03	457.0	22.2	27.0	1.0	1.54	
12295	Białystok	2022-01-24	17	-2.5	2	220	71.6	0	1032.8	30.86	453.0	21.2	31.0	1.9	1.63	
12295	Białystok	2022-01-24	18	-2.5	2	220	72.7	0	1032.3	29.85	462.0	22.4	26.0	2.5	1.7	
12295	Białystok	2022-01-24	19	-2.5	2	230	75.6	0	1031.9	29.18	474.0	21.3	28.0	1.9	1.82	
12295	Białystok	2022-01-24	20	-2.5	2	230	81.0	0	1031.5	34.45	461.0	19.3	35.0	2.3	1.76	
12295	Białystok	2022-01-24	21	-2.9	2	230	94.2	0	1031	40.16	502.0	19.5	31.0	2.9	1.82	
12295	Białystok	2022-01-24	22	-2.5	2	230	94.9	0	1030.4	39.45	544.0	21.5	33.0	2.2	2.19	
12295	Białystok	2022-01-24	23	-2.2	2	240	95.6	0	1029.7	46.83	510.0	19.1	47.0	1.9	2.02	
